frame_index,timestamp_ns,diff_ns,duration_ns,buffer_size
2,72135612805,0,333333,1382400
3,72135930083,317278,333333,1382400
4,72136249854,319771,333333,1382400
5,72136569672,319818,333333,1382400
6,72136889883,320211,333333,1382400
7,72137209874,319991,333333,1382400
8,72137529882,320008,333333,1382400
9,72137850274,320392,333333,1382400
10,72138170313,320039,333333,1382400
11,72138490298,319985,333333,1382400
12,72138810304,320006,333333,1382400
13,72139293753,483449,333333,1382400
14,72139610136,316383,333333,1382400
15,72139929848,319712,333333,1382400
16,72140249740,319892,333333,1382400
17,72140569899,320159,333333,1382400
18,72140889837,319938,333333,1382400
19,72141209741,319904,333333,1382400
20,72141529445,319704,333333,1382400
21,72141850123,320678,333333,1382400
22,72142170780,320657,333333,1382400
23,72142491353,320573,333333,1382400
24,72142969841,478488,333333,1382400
25,72143289676,319835,333333,1382400
26,72143609907,320231,333333,1382400
27,72143929752,319845,333333,1382400
28,72144249795,320043,333333,1382400
29,72144570605,320810,333333,1382400
30,72144889527,318922,333333,1382400
31,72145209753,320226,333333,1382400
32,72145529926,320173,333333,1382400
33,72145850304,320378,333333,1382400
