frame_index,timestamp_ns,diff_ns,duration_ns,buffer_size
2,72390084127,0,333333,1382400
3,72390402315,318188,333333,1382400
4,72390719865,317550,333333,1382400
5,72391040118,320253,333333,1382400
6,72391360272,320154,333333,1382400
7,72391679915,319643,333333,1382400
8,72391999848,319933,333333,1382400
9,72392320064,320216,333333,1382400
10,72392640370,320306,333333,1382400
11,72392962819,322449,333333,1382400
12,72393280347,317528,333333,1382400
13,72393759913,479566,333333,1382400
14,72394080165,320252,333333,1382400
15,72394403601,323436,333333,1382400
16,72394719934,316333,333333,1382400
17,72395040155,320221,333333,1382400
18,72395359905,319750,333333,1382400
19,72395679895,319990,333333,1382400
20,72396000008,320113,333333,1382400
21,72396321295,321287,333333,1382400
22,72396642794,321499,333333,1382400
23,72396960399,317605,333333,1382400
24,72397440016,479617,333333,1382400
25,72397762387,322371,333333,1382400
26,72398079932,317545,333333,1382400
27,72398399933,320001,333333,1382400
28,72398719929,319996,333333,1382400
29,72399039886,319957,333333,1382400
30,72399359918,320032,333333,1382400
